avgTricks,S_HCP,W_HCP,N_HCP,E_HCP,S_unprot,W_unprot,N_unprot,E_unprot,S_pos,W_pos,N_pos,E_pos,S_Ace_Rat,W_Ace_Rat,N_Ace_Rat,E_Ace_Rat,diff_tricks_contract
8,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,-1
7,1,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-2
8,1,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,1,0,-1
11,0,2,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,2
9,1,1,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0
10,1,3,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,1
11,0,3,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,2
9,1,2,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,0,0,0
8,1,1,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,-1
10,0,1,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,1
10,0,2,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,1
6,1,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,-3
8,0,2,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
10,0,1,0,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
11,3,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,2
8,1,2,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,0,-1
11,1,1,0,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,2
9,1,0,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0
11,1,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,2
10,2,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0,0,1
10,1,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,1
10,0,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,1
5,0,3,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,0,1,-3
10,2,1,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-2
10,1,1,3,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,1
6,1,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,-3
8,2,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,1,0,-1
8,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,0,0,0
9,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,0,0,0
8,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-1
6,1,1,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,-1
5,0,0,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,-3
11,0,1,3,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,2
10,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,1
8,0,2,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,1
11,0,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,0,0,2
7,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,-2
8,0,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,1
7,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
8,1,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,1,0,-1
9,0,1,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
9,0,2,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
8,1,1,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,-1
10,1,2,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,1
6,2,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,-1
7,1,2,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
8,1,2,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1
10,1,1,0,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,0,1
9,0,0,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,1
7,2,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-2
5,1,2,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,-2
10,1,2,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1
9,1,3,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
11,2,2,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,4
12,3,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,3
9,2,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0,0,0
10,1,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,1
12,2,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0
9,2,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,1,0,0
8,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,0,0,-1
7,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-2
7,1,1,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,-1
7,0,1,3,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,-2
9,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
10,0,2,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,3
11,0,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,0,0,2
8,0,2,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,1,0,1
8,0,1,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,-1
7,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
9,2,2,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
7,0,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,0,0,0
10,1,1,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,0,0,1
11,1,3,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,2
8,1,3,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,-1
9,1,2,3,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
9,1,2,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
7,0,0,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,1,0,0,-2
7,1,1,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,0,0,0
10,2,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,1
12,2,0,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0
11,3,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,2
9,2,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
9,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
9,2,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0
11,0,2,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,2
9,1,1,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0
10,0,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1
12,2,0,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,3
11,1,3,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,2
11,1,1,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,0,1,2
10,1,2,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1
7,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,1,0
10,0,1,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,0,0,1
8,1,2,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,0,0,-1
6,0,2,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,-1
6,1,2,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,-1
6,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,-1
8,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,1,-1
12,0,1,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,3
12,0,1,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0
9,0,2,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,0,0,0
9,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,1,0,0,2
10,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,1,1
7,1,0,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,0,0
11,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,2
10,2,2,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,1,1
6,1,2,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,1,-1
9,1,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
8,0,2,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1
6,0,2,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,-1
9,0,2,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0
8,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
7,1,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,-2
8,2,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-1
8,0,2,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,1,0,1
11,1,1,2,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,1,0,2
9,1,2,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
7,1,2,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
10,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,3
9,1,3,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
7,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0
11,0,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,2
10,2,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,1,0,1
11,0,1,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,2
8,1,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,1,-1
7,0,2,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,0
8,1,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-1
12,1,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
8,2,2,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,1
7,1,1,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,-2
5,1,3,1,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,-3
9,0,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
11,2,1,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,2
10,2,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,1
7,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,0,0,-1
8,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-4
8,2,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,1
9,1,2,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
8,1,2,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,1,0,0,-1
8,1,1,2,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,-1
8,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1
7,2,2,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
12,1,2,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,3
10,1,1,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,1
9,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0,0,0
12,0,2,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,0,0,0
7,1,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
7,1,1,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,0,1,0
6,1,3,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,0,0,-3
11,1,1,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,2
12,2,0,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,1,0,0,3
8,1,1,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-1
9,0,1,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0
10,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1
8,1,1,0,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,-1
11,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,2
8,2,3,1,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,1,1
12,0,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,3
10,2,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,1,0,1
12,0,1,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,3
13,0,1,1,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,3
9,2,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,-1
8,1,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,1,-1
6,0,2,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,1,-1
7,1,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,-2
8,1,1,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,-1
9,0,2,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
9,2,1,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
9,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0
8,1,2,2,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,-1
8,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1
7,2,2,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
6,1,0,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,-3
